more_90_days_overdue,using_lines_not_secured_personal_assets,number_times_delayed_payment_loan_30_59_days,debt_ratio,number_times_delayed_payment_loan_60_89_days,default_flag,user_id,age,sex,last_month_salary,number_dependents,loan_id,loan_type,Q1,Q3,salary_outlier
0,0,0,0,0,0,22147,21,M,820,0,202007,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,26170,21,F,1,0,231853,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,9754,21,M,854,0,108839,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,22147,21,M,820,0,202008,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,12520,21,M,0,0,129490,OTHER,3950,9004,NORMAL
98,"0,9999999",98,0,98,0,865,21,M,867,0,,,3950,9004,NORMAL
0,0,0,0,0,0,13372,21,M,2000,0,135868,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,8870,21,F,,,102178,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,26170,21,F,1,0,231854,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,15009,21,M,1,1,148108,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,16848,21,M,0,0,161895,OTHER,3950,9004,NORMAL
0,"0,017964072",0,0,0,0,24559,21,F,0,0,219935,OTHER,3950,9004,NORMAL
98,"0,9999999",98,0,98,0,24483,21,M,,,,,3950,9004,NORMAL
98,"0,9999999",98,0,98,0,3108,21,M,,0,,,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,35630,21,F,700,0,302618,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,15684,21,F,,0,153249,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,17258,21,F,845,0,164986,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,14999,21,F,0,0,,,3950,9004,NORMAL
0,"0,017269587",0,2,0,0,4012,21,M,0,0,65847,OTHER,3950,9004,NORMAL
0,"0,017269587",0,2,0,0,4012,21,M,0,0,65848,OTHER,3950,9004,NORMAL
0,"0,9999999",0,8,0,0,28122,21,M,,,,,3950,9004,NORMAL
0,"0,445078459",0,9,0,0,2932,21,M,,0,57855,OTHER,3950,9004,NORMAL
0,"0,816367265",0,12,0,0,28075,21,M,,,246054,OTHER,3950,9004,NORMAL
0,"0,9999999",0,34,0,0,18682,21,M,,0,175682,OTHER,3950,9004,NORMAL
0,"0,9999999",0,112,0,0,33474,21,M,,,286817,OTHER,3950,9004,NORMAL
0,"0,974392418",0,672,0,0,2303,21,M,,0,53109,OTHER,3950,9004,NORMAL
0,"0,9999999",0,307,0,0,18876,21,F,,,,,3950,9004,NORMAL
0,"0,9999999",0,"0,176043557",0,0,4732,21,M,550,0,71159,OTHER,3950,9004,NORMAL
0,"0,898203593",0,"0,005369682",0,0,22623,21,M,2420,0,205512,OTHER,3950,9004,NORMAL
0,"0,36963037",0,"0,010989011",0,0,27733,21,F,1000,0,243536,OTHER,3950,9004,NORMAL
0,0,0,"0,061290323",0,0,20846,21,F,929,0,192074,OTHER,3950,9004,NORMAL
0,0,0,"0,061290323",0,0,20846,21,F,929,0,192073,OTHER,3950,9004,NORMAL
0,"0,686654909",0,"0,037663336",0,0,16574,21,M,1300,0,159972,OTHER,3950,9004,NORMAL
0,"0,686654909",0,"0,037663336",0,0,16574,21,M,1300,0,159971,OTHER,3950,9004,NORMAL
0,"0,321357285",0,"0,000412925",0,0,5381,21,F,9686,0,75924,OTHER,3950,9004,NORMAL
0,"0,321357285",0,"0,000412925",0,0,5381,21,F,9686,0,75925,OTHER,3950,9004,NORMAL
0,"0,626674665",0,"0,107507774",0,0,35429,21,M,2250,2,301111,OTHER,3950,9004,NORMAL
0,"1,107892108",0,"0,008247938",0,0,280,21,M,4000,0,38502,OTHER,3950,9004,NORMAL
0,"1,107892108",0,"0,008247938",0,0,280,21,M,4000,0,38501,OTHER,3950,9004,NORMAL
0,"0,512479201",0,"0,101460415",0,0,18209,21,M,1300,0,172138,OTHER,3950,9004,NORMAL
0,"0,9999999",0,"0,070743405",0,0,9884,21,F,833,0,,,3950,9004,NORMAL
0,"0,101123596",0,"0,001458789",0,0,24324,21,F,1370,0,218230,OTHER,3950,9004,NORMAL
0,"0,101123596",0,"0,001458789",0,0,24324,21,F,1370,0,218229,OTHER,3950,9004,NORMAL
0,"0,289421158",0,"0,001211754",0,0,3985,21,M,3300,0,65661,OTHER,3950,9004,NORMAL
0,"0,074923344",0,"0,028423773",0,0,10438,21,F,1160,0,113998,OTHER,3950,9004,NORMAL
0,"0,074923344",0,"0,028423773",0,0,10438,21,F,1160,0,113997,OTHER,3950,9004,NORMAL
0,"0,074923344",0,"0,028423773",0,0,10438,21,F,1160,0,113996,OTHER,3950,9004,NORMAL
0,"0,602794411",0,"0,884735202",0,0,2966,21,F,641,0,58116,OTHER,3950,9004,NORMAL
0,"0,602794411",0,"0,884735202",0,0,2966,21,F,641,0,58114,OTHER,3950,9004,NORMAL
0,"0,602794411",0,"0,884735202",0,0,2966,21,F,641,0,58115,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,19053,22,F,820,0,178377,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,33917,22,M,820,0,290074,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,14767,22,M,,0,,,3950,9004,NORMAL
98,"0,9999999",98,0,98,0,20824,22,F,4500,0,,,3950,9004,NORMAL
98,"0,9999999",98,0,98,0,31904,22,F,0,0,,,3950,9004,NORMAL
0,"0,003998001",0,0,0,0,34618,22,F,929,0,295367,OTHER,3950,9004,NORMAL
0,"0,018981019",0,0,0,0,18697,22,M,1600,0,175783,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,1792,22,M,864,0,49304,OTHER,3950,9004,NORMAL
0,"0,015968064",0,0,0,0,12603,22,M,929,0,130069,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,19143,22,M,820,0,179063,OTHER,3950,9004,NORMAL
0,0,0,0,0,0,21860,22,M,929,0,199885,OTHER,3950,9004,NORMAL
0,"0,9999999",0,0,0,0,35568,22,M,1600,0,,,3950,9004,NORMAL
